Country: Central African Republic  Rank: 155  Score: 2.693  GDP: 0

Country: Burundi  Rank: 154  Score: 2.905  GDP: 0.0916226

Country: Tanzania  Rank: 153  Score: 3.349  GDP: 0.511136

Country: Syria  Rank: 152  Score: 3.462  GDP: 0.777153

Country: Rwanda  Rank: 151  Score: 3.471  GDP: 0.368746

Country: Togo  Rank: 150  Score: 3.495  GDP: 0.305445

Country: Guinea  Rank: 149  Score: 3.507  GDP: 0.24455

Country: Liberia  Rank: 148  Score: 3.533  GDP: 0.119042

Country: South Sudan  Rank: 147  Score: 3.591  GDP: 0.397249

Country: Yemen  Rank: 146  Score: 3.593  GDP: 0.591683

Country: Haiti  Rank: 145  Score: 3.603  GDP: 0.36861

Country: Madagascar  Rank: 144  Score: 3.644  GDP: 0.305809

Country: Benin  Rank: 143  Score: 3.657  GDP: 0.431085

Country: Botswana  Rank: 142  Score: 3.766  GDP: 1.12209

Country: Afghanistan  Rank: 141  Score: 3.794  GDP: 0.401477

Country: Angola  Rank: 140  Score: 3.795  GDP: 0.858428

Country: Lesotho  Rank: 139  Score: 3.808  GDP: 0.521021

Country: Zimbabwe  Rank: 138  Score: 3.875  GDP: 0.375847

Country: Chad  Rank: 137  Score: 3.936  GDP: 0.438013

Country: Malawi  Rank: 136  Score: 3.97  GDP: 0.233442

Country: Niger  Rank: 135  Score: 4.028  GDP: 0.161925

Country: Burkina Faso  Rank: 134  Score: 4.032  GDP: 0.350228

Country: Uganda  Rank: 133  Score: 4.081  GDP: 0.381431

Country: Ukraine  Rank: 132  Score: 4.096  GDP: 0.894652

Country: Ghana  Rank: 131  Score: 4.12  GDP: 0.667225

Country: Sudan  Rank: 130  Score: 4.139  GDP: 0.659517

Country: Cambodia  Rank: 129  Score: 4.168  GDP: 0.601765

Country: Ivory Coast  Rank: 128  Score: 4.18  GDP: 0.603049

Country: Mali  Rank: 127  Score: 4.19  GDP: 0.47618

Country: Congo Kinshasa  Rank: 126  Score: 4.28  GDP: 0.0921023

Country: Georgia  Rank: 125  Score: 4.286  GDP: 0.950613

Country: Congo Brazzaville  Rank: 124  Score: 4.291  GDP: 0.808964

Country: Mauritania  Rank: 123  Score: 4.292  GDP: 0.648457

Country: India  Rank: 122  Score: 4.315  GDP: 0.792221

Country: Armenia  Rank: 121  Score: 4.376  GDP: 0.900597

Country: Sri Lanka  Rank: 120  Score: 4.44  GDP: 1.00985

Country: Ethiopia  Rank: 119  Score: 4.46  GDP: 0.339234

Country: Gabon  Rank: 118  Score: 4.465  GDP: 1.19821

Country: Iraq  Rank: 117  Score: 4.497  GDP: 1.10271

Country: Zambia  Rank: 116  Score: 4.514  GDP: 0.636407

Country: Senegal  Rank: 115  Score: 4.535  GDP: 0.479309

Country: Myanmar  Rank: 114  Score: 4.545  GDP: 0.367111

Country: Mozambique  Rank: 113  Score: 4.55  GDP: 0.234306

Country: Kenya  Rank: 112  Score: 4.553  GDP: 0.560479

Country: Namibia  Rank: 111  Score: 4.574  GDP: 0.964434

Country: Bangladesh  Rank: 110  Score: 4.608  GDP: 0.586683

Country: Albania  Rank: 109  Score: 4.644  GDP: 0.996193

Country: Iran  Rank: 108  Score: 4.692  GDP: 1.15687

Country: Cameroon  Rank: 107  Score: 4.695  GDP: 0.564305

Country: Sierra Leone  Rank: 106  Score: 4.709  GDP: 0.368421

Country: Bulgaria  Rank: 105  Score: 4.714  GDP: 1.16146

Country: Egypt  Rank: 104  Score: 4.735  GDP: 0.989702

Country: Palestinian Territories  Rank: 103  Score: 4.775  GDP: 0.716249

Country: Tunisia  Rank: 102  Score: 4.805  GDP: 1.00727

Country: South Africa  Rank: 101  Score: 4.829  GDP: 1.0547

Country: Mongolia  Rank: 100  Score: 4.955  GDP: 1.02724

Country: Nepal  Rank: 99  Score: 4.962  GDP: 0.47982

Country: Kyrgyzstan  Rank: 98  Score: 5.004  GDP: 0.59622

Country: Bhutan  Rank: 97  Score: 5.011  GDP: 0.885416

Country: Tajikistan  Rank: 96  Score: 5.041  GDP: 0.524714

Country: Nigeria  Rank: 95  Score: 5.074  GDP: 0.783756

Country: Vietnam  Rank: 94  Score: 5.074  GDP: 0.788548

Country: Somalia  Rank: 93  Score: 5.151  GDP: 0.0226432

Country: Macedonia  Rank: 92  Score: 5.175  GDP: 1.06458

Country: Honduras  Rank: 91  Score: 5.181  GDP: 0.730573

Country: Bosnia and Herzegovina  Rank: 90  Score: 5.182  GDP: 0.982409

Country: Portugal  Rank: 89  Score: 5.195  GDP: 1.31518

Country: Lebanon  Rank: 88  Score: 5.225  GDP: 1.07499

Country: Greece  Rank: 87  Score: 5.227  GDP: 1.28949

Country: Dominican Republic  Rank: 86  Score: 5.23  GDP: 1.07937

Country: Azerbaijan  Rank: 85  Score: 5.234  GDP: 1.1536

Country: Morocco  Rank: 84  Score: 5.235  GDP: 0.878115

Country: Montenegro  Rank: 83  Score: 5.237  GDP: 1.12113

Country: Venezuela  Rank: 82  Score: 5.25  GDP: 1.12843

Country: Indonesia  Rank: 81  Score: 5.262  GDP: 0.995539

Country: Pakistan  Rank: 80  Score: 5.269  GDP: 0.726884

Country: China  Rank: 79  Score: 5.273  GDP: 1.08117

Country: Kosovo  Rank: 78  Score: 5.279  GDP: 0.951484

